video_id,url,video_title,channel_id,channel_title,publish_date,description
IgQK3tz-fKM,https://www.youtube.com/watch?v=IgQK3tz-fKM,Инцидент с Пенсилом: Великая Ошибка DoorDash ✏️,UCDDZOBAdDlPbUA4z42r_wvw,i11ushenka,2025-10-23T15:46:28Z,"Мне очень интересно, чем это закончится. У мужчины есть все шансы добиться реального срока."
RZvmqLnz3Cs,https://www.youtube.com/watch?v=RZvmqLnz3Cs,SML Movie: The DoorDash Problem!,UCnSWkrRWNQWNhDusoWr_HXQ,SML,2025-10-23T01:58:01Z,Join this channel to get access to perks: https://www.youtube.com/channel/UCnSWkrRWNQWNhDusoWr_HXQ/join.
4pM7DLEL7xA,https://www.youtube.com/watch?v=4pM7DLEL7xA,The Doordash Girl Situation is INSANE😭 #roblox #robloxrants #robloxshorts,UCJhGkYMvUaWJ3mb1FhOMkTw,Sammy,2025-10-19T21:16:38Z,
9dn7N5-EKRE,https://www.youtube.com/watch?v=9dn7N5-EKRE,The Good ending,UC8bBMFh3U4GZYWhXBalFZbQ,Zairegardnerd,2025-10-25T16:12:12Z,
zx3JMdSDTJs,https://www.youtube.com/watch?v=zx3JMdSDTJs,This woman CAN&#39;T HANDLE being held accountable,UCS_Jr83ueVLKc6XNLWwqRag,emilywking,2025-10-24T21:41:40Z,"Hey guys! If you haven't heard about this viral doordash girl story, I'll give you a quick summary. Basically this girl took a video of a ..."
Bn7WbKVar1I,https://www.youtube.com/watch?v=Bn7WbKVar1I,They Are Calling Her &quot;The Girl Who Cried Wolf&quot;,UCgEvEKgmQ-CHPIeOSaGCffw,Amala Ekpunobi,2025-10-25T22:53:07Z,She was fired from DoorDash after claiming to get SA'ed while on the job and now she's going viral. Let's talk about it. Join the ...
xXAIcenT5KQ,https://www.youtube.com/watch?v=xXAIcenT5KQ,Doordash Girl Scandal | Victim Or Aggressor?,UCaiVt4r6YLPzJVgr7pOmD6w,Aba N Preach,2025-10-24T19:20:40Z,"This female Doordash driver went viral for seemingly exposing a customer who was already ""exposed"" waist down on his living ..."
Y1vPwS2h088,https://www.youtube.com/watch?v=Y1vPwS2h088,#actingchallenge,UCwihWnfD0mCL7ccUeR9FpyQ,MuffinYells,2025-10-20T00:59:10Z,Doordash Girl might be cooked #roblox #relatable #robloxrant #rblx #shorts.
mgeeD8rYAwc,https://www.youtube.com/watch?v=mgeeD8rYAwc,She F*cked Around And Found Out ,UCr0XW6TU9XVWlWPpEwEyf3g,JAMARI,2025-10-23T19:33:31Z,"Recently a ""tiktok"" went viral after a doordash girl driver had an issue with her delivery. She has now been let go, and now as ..."
2EM-F3VfwUI,https://www.youtube.com/watch?v=2EM-F3VfwUI,This woman STILL CAN&#39;T HANDLE being held accountable; doordash girl update,UCS_Jr83ueVLKc6XNLWwqRag,emilywking,2025-11-07T21:00:02Z,"Hey guys! If you haven't heard about this viral doordash girl story, I'll give you a quick summary. Basically this girl took a video of a ..."
lqvigepgbqI,https://www.youtube.com/watch?v=lqvigepgbqI,ICE agents chase woman back to her Louisiana home,UCupvZG-5ko_eiXAupbDfxWw,CNN,2025-12-05T01:22:58Z,"On Wednesday, the Department of Homeland Security announced it was launching an immigration enforcement operation in the ..."
eAF4_2edowo,https://www.youtube.com/watch?v=eAF4_2edowo,She&#39;s going to prison for 8 years..,UCQeRaTukNYft1_6AZPACnog,Asmongold TV  ,2025-11-26T02:40:01Z,Asmongold reacts to @atozy https://www.youtube.com/watch?v=IJAwKvrhY58 ▻ Asmongold's Twitch: ...
M9vmSPKBSzE,https://www.youtube.com/watch?v=M9vmSPKBSzE,Doordashing to afford dinner! #doordashing #doordashertips #sidehustle #brokeandhungry,UCIDLShi7c9s3NoKITfIyGgQ,Dat Girl From Ohio,2025-11-16T04:07:43Z,
